datetime,hour,CoolingDemand_kW,DryBulb_C,Pressure_kPa,RHum
2020-01-01 00:30:00-05:00,1,0.0,3.3,99.6,0.96
2020-01-01 01:30:00-05:00,2,0.0,2.2,99.7,0.96
2020-01-01 02:30:00-05:00,3,0.0,1.1,100.0,0.96
2020-01-01 03:30:00-05:00,4,0.0,1.1,100.0,0.96
2020-01-01 04:30:00-05:00,5,0.0,1.7,100.1,0.92
2020-01-01 05:30:00-05:00,6,0.0,1.7,100.4,0.96
2020-01-01 06:30:00-05:00,7,0.0,2.2,100.5,0.92
2020-01-01 07:30:00-05:00,8,0.007601417299603999,2.2,100.8,0.92
2020-01-01 08:30:00-05:00,9,0.0,2.2,101.1,0.89
2020-01-01 09:30:00-05:00,10,0.0,2.2,101.2,0.85
2020-01-01 10:30:00-05:00,11,0.0,2.8,101.2,0.76
2020-01-01 11:30:00-05:00,12,0.0,3.3,101.2,0.67
2020-01-01 12:30:00-05:00,13,0.0,4.4,101.2,0.65
2020-01-01 13:30:00-05:00,14,0.0,5.0,101.3,0.62
2020-01-01 14:30:00-05:00,15,0.0,5.0,101.4,0.62
2020-01-01 15:30:00-05:00,16,0.0,4.4,101.5,0.68
2020-01-01 16:30:00-05:00,17,0.0,2.8,101.6,0.7
2020-01-01 17:30:00-05:00,18,0.0,2.2,101.7,0.7
2020-01-01 18:30:00-05:00,19,0.0,1.1,101.7,0.73
2020-01-01 19:30:00-05:00,20,0.0,1.1,101.7,0.73
2020-01-01 20:30:00-05:00,21,0.0,-0.6,101.8,0.75
2020-01-01 21:30:00-05:00,22,0.0,-1.1,101.8,0.78
2020-01-01 22:30:00-05:00,23,0.0,-2.2,101.9,0.82
2020-01-01 23:30:00-05:00,24,0.0030186334324507997,-2.8,101.9,0.81
2020-01-02 00:30:00-05:00,25,0.004053596870337999,-2.2,102.0,0.85
2020-01-02 01:30:00-05:00,26,0.0033200550868014,-2.2,102.0,0.82
2020-01-02 02:30:00-05:00,27,0.0021158529803288,-2.8,102.0,0.85
2020-01-02 03:30:00-05:00,28,0.007936981303709999,-3.9,102.0,0.85
2020-01-02 04:30:00-05:00,29,0.004206955611676,-3.9,102.0,0.85
2020-01-02 05:30:00-05:00,30,0.007938251308854,-2.8,102.0,0.78
2020-01-02 06:30:00-05:00,31,0.0,-3.3,102.1,0.72
